rank,score,confidence,seniority,company_name,company_url,company_source,title,job_url,type_of_work,hours_per_week,date_updated,salary,estimated_monthly_usd,skill_requirement,why,summary
52,74,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,E-commerce Operations Manager.,https://www.onlinejobs.ph/jobseekers/job/E-commerce-Operations-Manager-1677626,Full Time,40,"Jun 27, 2026",$1000/month+%,1000.0,E-Commerce Amazon Project Management,"Explicit tools: claude code | AI/build signals: claude, chatgpt, ai tools, ai automation, llm | Build surface: repo, automation, shopify | Code/build substrate: repo, claude code | Trainable language: assistant, va, virtual assistant, sop, learn | Scarcity/seniority signal: manager",E-commerce Operations Manager (US Market) | Long-Term | Full-Time About us We are building multiple US direct-to-consumer health brands. Our business includes: * US e-commerce * Subscription products * Affiliate marketing * Customer support * Fulfillment *...
53,74,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,Growth Hacker,https://www.onlinejobs.ph/jobseekers/job/Growth-Hacker-1677009,Full Time,40,"Jun 27, 2026",$70k/year-$95k/year,7.92,Copywriting Google Analytics Digital Marketing,"Explicit tools: claude code, codex | AI/build signals: claude, chatgpt, ai tools | Build surface: landing page, landing pages, repo, automation, funnel, funnels | Code/build substrate: repo, claude code | Trainable language: va","**About Us** We are an AI & Blockchain company building the financial infrastructure for the AI age. We have customers in 19 countries, and our team is an international mix of remote talents with two core locations in Singapore and Dubai. We raised $2.8M in..."
54,73,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI Automation & Ecommerce Operations Analyst,https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Ecommerce-Operations-Analyst-1678552,Part Time,TBD,"Jun 29, 2026",750,750.0,Inventory Management AI Tools AI Automation,"AI/build signals: claude, chatgpt, openai, ai tools, ai automation, ai agent | Build surface: dashboard, dashboards, repo, javascript, python, api, apis, automation | Code/build substrate: dashboard, dashboards, repo, javascript, python, api | Trainable language: va | Scarcity/seniority signal: lead, advanced","We are looking for an experienced AI automation specialist to help us build a suite of practical AI agents and workflows for a fast-growing ecommerce business. This is initially a project-based role, with the potential for regular weekly work if the first..."
55,73,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Mind Core,https://mind-core.com,inferred_from_domain,AI Automation Engineer,https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Engineer-1676459,Any,40,"Jun 25, 2026",1500,1500.0,Marketing Automation Workflow AI Automation,"AI/build signals: claude, chatgpt, ai automation, ai agent, ai agents, mcp | Build surface: repo, python, api, apis, webhook, webhooks, automation, workflow | Code/build substrate: repo, python, api, apis, webhook, webhooks | Trainable language: va | Scarcity/seniority signal: architect","You are the third engineer on our AI automation team. Two engineers already own marketing and finance automation. You are the flexible builder: you drop into whichever department has the highest-leverage system to ship next, architect it end to end, deploy it..."
56,73,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,AI Automation Specialist (n8n/GHL/ AI Agents),https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Specialist-n8nGHL-AI-Agents-1600540,Part Time,10,"Jun 25, 2026",$5 an hour,5.0,GoHighLevel AI Tools,"AI/build signals: claude, ai tools, ai automation, ai agent, ai agents | Build surface: repo, api, apis, webhook, webhooks, automation, workflow, workflows | Code/build substrate: repo, api, apis, webhook, webhooks | Trainable language: va","Role We are looking for someone skilled in automation and AI systems to help build, improve and maintain our internal workflows. Hours: Part-time – 2 hours per day. 5 days a week. Pay: $5 per hour Tools We Use: n8n GoHighLevel (GHL) VPS / self-hosted systems..."
57,73,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,"AI Developer — Agents, Automation & SaaS Tools",https://www.onlinejobs.ph/jobseekers/job/AI-Developer-Agents-Automation-SaaS-Tools-1663962,Part Time,20,"Jun 30, 2026",600,600.0,Javascript Python API Integration,"AI/build signals: claude, ai agent, ai agents, agentic, prompt engineering | Build surface: dashboard, dashboards, frontend, react, next.js, supabase, repo, javascript | Code/build substrate: dashboard, dashboards, frontend, react, next.js, supabase | Trainable language: va | Scarcity/seniority signal: architect","Solomon X is an AI consulting and agent development company serving mid-market businesses in the UAE and South Africa. We build and deploy AI agents that absorb the repetitive, expensive work inside businesses — quoting, operations, customer care, growth, and..."
58,73,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Founding AI Automation Specialist / Business Builder,https://www.onlinejobs.ph/jobseekers/job/Founding-AI-Automation-Specialist-Business-Builder-1678130,Any,TBD,"Jun 28, 2026",TBD,,,"AI/build signals: ai tools, ai automation, prompt engineering | Build surface: website, landing page, landing pages, dashboard, dashboards, repo, api, automation | Code/build substrate: dashboard, dashboards, repo, api | Trainable language: assistant, va, sop, learn | Scarcity/seniority signal: lead","Build an AI Company From the Ground Up I'm looking for someone to build an AI agency that provides businesses with AI Employees. The goal is to create a company where businesses can ""hire"" AI employees that answer calls, schedule appointments, follow up with..."
59,73,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,OPEN-SOURCE AI AUTOMATION ENGINEER,https://www.onlinejobs.ph/jobseekers/job/OPEN-SOURCE-AI-AUTOMATION-ENGINEER-1663647,Any,40,"Jun 29, 2026",500,500.0,AI Automation Artificial Intelligence,"AI/build signals: openai, ai automation, ai agent, ai agents, prompt engineering, llm | Build surface: website, websites, dashboard, dashboards, web app, supabase, repo, javascript | Code/build substrate: dashboard, dashboards, web app, supabase, repo, javascript | Trainable language: va | Scarcity/seniority signal: lead","Open-Source AI Automation Engineer About the Role We are seeking an experienced Open-Source AI Automation Engineer to design, build, and maintain AI-powered systems using primarily open-source and self-hosted technologies. The goal is to create scalable..."
60,72,High-confidence vibe coding,"Senior ask, but trainable profile language",TIA The Investors Agency,https://theinvestorsagency.com.au,inferred_from_description,Content & Social Media Marketer,https://www.onlinejobs.ph/jobseekers/job/Content-Social-Media-Marketer-1679911,Full Time,TBD,"Jul 1, 2026",?60000,1034.48,Content Creation Social Media Management Digital Marketing,"Explicit tools: lovable | AI/build signals: claude, chatgpt, llm | Build surface: website, landing page, landing pages, react, repo, automation, automations, workflow | Code/build substrate: react, repo, lovable | Trainable language: va | Scarcity/seniority signal: senior, lead, manager, 5+ years","About TIA The Investors Agency is a buyers agency that helps everyday Australians build wealth through strategic property investment. We've helped hundreds of clients secure investment properties across the country, and our marketing reaches tens of thousands..."
61,72,High-confidence vibe coding,"Senior ask, but trainable profile language",Perfectionspa,https://perfectionspa.co.uk,inferred_from_domain,Executive Assistant to the Managing Director,https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-to-the-Managing-Director-1677321,Full Time,45,"Jun 26, 2026","Salary: $700 to $920 USD per month, depe",920.0,Organization Process Improvement Executive Assistance,"Explicit tools: replit | AI/build signals: claude, chatgpt, ai tools | Build surface: repo, api, apis, gohighlevel, ghl | Code/build substrate: repo, api, apis | Trainable language: assistant, va, sop, learn | Scarcity/seniority signal: senior, lead, expert, advanced","Executive Assistant to the Managing Director Helping Organise and Support a Multi-Award-Winning Medi-Spa Location: Remote Job Type: Full-Time Location Requirement: Philippines-based Salary: $700 to $920 USD per month, depending on experience Hours: Monday to..."
62,72,High-confidence vibe coding,Junior or trainable,Service Flow Systems LLC,,exposed_company_or_brand,GHL Website Builder & Onboarding VA,https://www.onlinejobs.ph/jobseekers/job/GHL-Website-Builder-Onboarding-VA-1676453,Part Time,8,"Jun 26, 2026",2-4,4.0,Web Design & Page Layout GoHighLevel Virtual Assistant,"Explicit tools: claude code | AI/build signals: claude | Build surface: website, websites, repo, automation, automations, workflow, gohighlevel, ghl | Code/build substrate: repo, claude code | Trainable language: assistant, va, virtual assistant, templates",We build websites and marketing automation systems for local service businesses using GoHighLevel (GHL). I'm looking for a part-time VA to help with: - Building client websites using GHL templates and Claude Code AI (guided by prompts I provide) - Setting up...
63,71,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Developer,https://www.onlinejobs.ph/jobseekers/job/Developer-1680137,Part Time,20,"Jul 1, 2026",Depends on qualifications,,Next JS AI Tools JSON,"Explicit tools: claude code | AI/build signals: claude, ai tools | Build surface: website, react, next.js, next js, github, repo, typescript, api | Code/build substrate: react, next.js, next js, github, repo, typescript | Trainable language: va, learn | Scarcity/seniority signal: lead, expert","Developer – Remote Part-Time Role in growing european agency We are looking for a skilled, reliable and highly trustworthy developer to join our small European digital company. We are a relatively new company, but we already work with active clients and..."
64,70,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Full-Stack Engineer (React/TypeScript + Node) — Rental Tech Platform,https://www.onlinejobs.ph/jobseekers/job/Full-Stack-Engineer-ReactTypeScript-Node-Rental-Tech-Platform-1679005,Full Time,40,"Jun 29, 2026",1600,1600.0,Node JS React JS Typescript,"Explicit tools: claude code, ai-assisted development | AI/build signals: claude | Build surface: react, github, repo, css, typescript, api, apis, webhook | Code/build substrate: react, github, repo, css, typescript, api | Trainable language: va | Scarcity/seniority signal: lead","We're Nestra, a rental-tech / lead-generation startup launching in Arizona. We match renters to apartments, book tours, run a soft credit check + background screening, and refer pre-qualified renters to apartment communities for a commission. Your job is to..."
65,70,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Shopify Plus Developer,https://www.onlinejobs.ph/jobseekers/job/Shopify-Plus-Developer-1678590,Part Time,20,"Jul 1, 2026",$1500-$2400,2400.0,Shopify Liquid HTML,"Explicit tools: claude code, cursor | AI/build signals: claude | Build surface: landing page, landing pages, repo, html, css, javascript, workflow, shopify | Code/build substrate: repo, html, css, javascript, cursor, claude code | Trainable language: va | Scarcity/seniority signal: manager, advanced, security","Remote | $15-20/hour | 10-25 hours/week to start (full-time potential) About Premium Invention We're a profitable DTC brand selling premium solar-powered security cameras ($300-500) to off-grid customers across North America — ranchers, cabin owners, farmers..."
66,69,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Canzell Realty,,exposed_company_or_brand,AI Specialist / Virtual AI Agent Creator,https://www.onlinejobs.ph/jobseekers/job/AI-Specialist-Virtual-AI-Agent-Creator-1646742,Any,30,"Jun 29, 2026",10,10.0,Business development Multitasking AI Automation,"AI/build signals: claude, openai, ai automation, ai agent, ai agents, prompt engineering | Build surface: website, repo, javascript, python, api, apis, automation, workflow | Code/build substrate: repo, javascript, python, api, apis | Trainable language: assistant, va, virtual assistant, learn | Scarcity/seniority signal: lead, expert, advanced, security","1. AI Development and Management Design AI Virtual Assistants: Create virtual AI agents capable of performing various tasks, from customer service to advanced process automation. Full Project Lifecycle: Manage the complete development process from ideation to..."
67,69,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",DCB Digital,,inferred_from_listing_header,"Digital Marketing Coordinator (Content, Operations & Systems)",https://www.onlinejobs.ph/jobseekers/job/Digital-Marketing-Coordinator-Content-Operations-Systems-1678033,Any,TBD,"Jun 28, 2026",$9-12 Aud,12.0,Zoho CRM Social Media Content Creation Virtual Assistant,"AI/build signals: claude, chatgpt, ai tools, ai agent, ai agents | Build surface: website, websites, repo, api, automation, automations, workflow, workflows | Code/build substrate: repo, api | Trainable language: assistant, va, virtual assistant, fresh, sop | Scarcity/seniority signal: senior, mentor","About DCB Digital We're a growing Queensland-based digital marketing agency working with professional services and trades businesses across Australia. We specialise in web design, SEO, paid ads, and social media, and we work with clients who are serious about..."
68,69,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Marketing & AI Virtual Assistant (Content + Funnels + Social Media,https://www.onlinejobs.ph/jobseekers/job/Marketing-AI-Virtual-Assistant-Content-Funnels-Social-Media-1678591,Part Time,15,"Jul 1, 2026",$5-10 an hour,10.0,Clickfunnels Social Media Marketing AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation, perplexity | Build surface: landing page, landing pages, repo, api, automation, ghl, funnel, funnels | Code/build substrate: repo, api | Trainable language: assistant, va, virtual assistant, learn | Scarcity/seniority signal: lead","Part-time | Trial: 1 Month | Potential Long-Term Position We’re looking for a proactive, creative Marketing & AI Virtual Assistant to help grow an online tennis education brand. You’ll work directly with the creator of the Modern Tennis Method, helping build..."
69,69,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Moon Media,,inferred_from_listing_header,Notion Systems Specialist + Automation,https://www.onlinejobs.ph/jobseekers/job/Notion-Systems-Specialist-Automation-1676482,Full Time,40,"Jun 25, 2026","$1,000-$1,300",1300.0,Creative Problem Solving Notion AI Automation,"AI/build signals: claude, ai tools, ai automation, ai agent, ai agents | Build surface: dashboard, dashboards, repo, api, apis, webhook, webhooks, database | Code/build substrate: dashboard, dashboards, repo, api, apis, webhook | Trainable language: assistant, va, virtual assistant, sop, templates | Scarcity/seniority signal: senior, lead, architect, expert, advanced","Company: Moon Media Location: Remote Type: Full-Time Working Hours: Monday-Friday, 9:00 AM - 5:00 PM EST Experience Level: Mid-Senior --- About Moon Media We're a fast-growing creative agency that helps brands dominate short-form content. Our clients include..."
70,69,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Scale AI Pros,,inferred_from_description,Senior GoHighLevel Automation & AI Implementation Specialist,https://www.onlinejobs.ph/jobseekers/job/Senior-GoHighLevel-Automation-AI-Implementation-Specialist-1680283,Part Time,20,"Jul 2, 2026",$6 - $10 per hour,1732.0,Social Media Content Creation Local SEO GoHighLevel,"AI/build signals: chatgpt, ai tools, ai agent, prompt engineering, perplexity | Build surface: website, websites, landing page, landing pages, repo, api, apis, webhook | Code/build substrate: repo, api, apis, webhook, webhooks | Trainable language: assistant, va, virtual assistant, learn | Scarcity/seniority signal: senior, lead, advanced","Scale AI Pros Hiring: GoHighLevel Virtual Assistant (Automation & AI Specialist) Location: Remote (Preferred: Philippines, Latin America, or other English-speaking regions) Employment Type: Full-Time or Part-Time (Based on Experience) About Scale AI Pros..."
71,68,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,GoHighLevel + AI Automation Engineer (Insurance Lead Gen System + SMS/Voice AI + Dialer + A2P),https://www.onlinejobs.ph/jobseekers/job/GoHighLevel-AI-Automation-Engineer-Insurance-Lead-Gen-System-SMSVoice-AI-Dialer-A2P-1621228,Any,20,"Jun 30, 2026",$8-10/hr,1732.0,GoHighLevel API Integration AI Automation,"AI/build signals: chatgpt, openai, ai tools, ai automation | Build surface: repo, api, apis, webhook, webhooks, automation, automations, workflow | Code/build substrate: repo, api, apis, webhook, webhooks | Trainable language: va | Scarcity/seniority signal: lead, architect, advanced","We are building a full-scale insurance lead generation and automation system inside GoHighLevel and are looking for a highly skilled Systems Engineer to help build, organize, and maintain it. This is NOT a basic VA role. You will be working directly with the..."
72,67,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,AI Developer,https://www.onlinejobs.ph/jobseekers/job/AI-Developer-1679305,Part Time,20,"Jun 30, 2026",$7 per hour,1212.4,,"AI/build signals: claude, chatgpt, ai automation | Build surface: repo, api, automation, workflow, workflows, ghl | Code/build substrate: repo, api | Trainable language: assistant, va, sop, learn","Comfortable using ChatGPT / Claude daily Able to learn automation tools (n8n, Zapier or similar) Highly organised and detail-oriented Good at customer communication Tasks: Customer data entry and cleanup Booking management Customer follow-ups via SMS/email..."
73,67,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",SMB Solutions,,inferred_from_description,AI Research & Data Mining Specialist (Full-Time),https://www.onlinejobs.ph/jobseekers/job/AI-Research-Data-Mining-Specialist-Full-Time-1676548,Full Time,40,"Jun 25, 2026",$500,500.0,Admin Data Processing Market Research Data Gathering,"AI/build signals: claude, chatgpt, ai tools, ai automation, prompt engineering, perplexity | Build surface: website, websites, repo, api, database, automation, ghl | Code/build substrate: repo, api, database | Trainable language: assistant, va, virtual assistant, learn | Scarcity/seniority signal: lead",AI Research & Data Mining Specialist (Full-Time) Salary $80 to $125 USD per week Based on experience and demonstrated skill. Schedule Full-Time Monday through Friday 40 Hours Per Week Location Remote ? About SMB Solutions We are an AI automation and digital...
74,67,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Rank & Rent Factory,,exposed_company_or_brand,AI Systems Builder – Website Production Factory,https://www.onlinejobs.ph/jobseekers/job/AI-Systems-Builder-Website-Production-Factory-1680006,Any,TBD,"Jul 1, 2026","$4–$12/hour depending on skill, experien",2078.4,Wordpress Zapier AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation, ai agent, ai agents | Build surface: website, websites, repo, javascript, python, api, automation, automations | Code/build substrate: repo, javascript, python, api | Trainable language: va, sop, learn | Scarcity/seniority signal: lead",I am building a Rank & Rent Factory. The long-term goal is to build and manage hundreds of local lead generation websites that generate calls and leads for local businesses. I am looking for a systems-minded AI and automation specialist who can help improve...
75,67,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Sx16,https://sx16.ai,inferred_from_domain,AI/ML Engineer | Data Scientist,https://www.onlinejobs.ph/jobseekers/job/AIML-Engineer-Data-Scientist-1678966,Any,40,"Jun 29, 2026",1200 - 1500/month,1500.0,Django SQL Machine Learning,"AI/build signals: claude, openai, agentic, prompt engineering, llm | Build surface: dashboard, dashboards, web app, github, repo, python, api, apis | Code/build substrate: dashboard, dashboards, web app, github, repo, python | Trainable language: assistant, va, learn | Scarcity/seniority signal: lead",AI / ML Engineer S16 (sx16.ai) · Remote (Philippines) · Full-time · Immediate joiner · 2+ years experience About S16 S16 (sx16.ai) is a product company building AI operations-intelligence tools for last-mile delivery and logistics operators. We turn live...
76,67,High-confidence vibe coding,"Senior ask, but trainable profile language",Asp,https://asp.net,inferred_from_domain,Remote .NET Developer (Contractor),https://www.onlinejobs.ph/jobseekers/job/Remote-NET-Developer-Contractor-1679493,Full Time,TBD,"Jun 30, 2026",TBD,,,"Explicit tools: cursor | AI/build signals: claude, chatgpt | Build surface: github, repo, html, css, javascript, api, apis, database | Code/build substrate: github, repo, html, css, javascript, api | Trainable language: va | Scarcity/seniority signal: manager, security","Work with an Australian Software Company We are looking for a talented .NET Developer in the Philippines to join our team as an independent contractor. You'll be working on commercial software applications using C#, .NET, and MySQL, helping to develop new..."
77,66,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,WordPress Web Developer (Specifically Elementor),https://www.onlinejobs.ph/jobseekers/job/WordPress-Web-Developer-Specifically-Elementor-1677339,Part Time,TBD,"Jun 26, 2026",$7.50/hour or $500 per site,86600.0,Web Design & Page Layout Wordpress Elementor,"Explicit tools: claude code | AI/build signals: claude | Build surface: website, websites, repo, gohighlevel, ghl, wordpress, elementor, cloudflare | Code/build substrate: repo, cloudflare, claude code | Trainable language: va, templates | Scarcity/seniority signal: mentor",We're a growing UK-based digital marketing agency looking for a long-term WordPress web developer to help us build and maintain websites for our clients in the home improvement and trade industries. We use Elementor Pro and have a proven website structure for...
78,65,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI Systems & Operations,https://www.onlinejobs.ph/jobseekers/job/AI-Systems-Operations-1653081,Any,20,"Jun 27, 2026",$5-10,10.0,Attention to Detail AI Tools AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation, prompt engineering | Build surface: repo, api, apis, automation, automations, workflow, workflows | Code/build substrate: repo, api, apis | Trainable language: va, will train, sop | Scarcity/seniority signal: architect","LEKKER Studios is a premium architectural and real estate photography company based in Northern New Jersey, serving the NYC metro market. We work with luxury builders, developers, architects, and top-tier real estate agents. We are a small, focused team that..."
79,64,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Part-Time CRM & Workflow Assistant (GoHighLevel + AI),https://www.onlinejobs.ph/jobseekers/job/Part-Time-CRM-Workflow-Assistant-GoHighLevel-AI-1677377,Part Time,20,"Jun 26, 2026",$5/hr,866.0,GoHighLevel AI Tools,"AI/build signals: claude, chatgpt, ai tools, mcp | Build surface: repo, api, apis, automation, workflow, workflows, gohighlevel, ghl | Code/build substrate: repo, api, apis, mcp | Trainable language: assistant, va, sop, templates | Scarcity/seniority signal: lead",Part-Time CRM & Workflow Assistant (GoHighLevel + AI) ~20 hours/week · Remote · Part-time contract We run two South Carolina real estate businesses — a manufactured-home dealership and a property investment operation — and we're looking for a sharp...
80,64,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Remote Executive Admin & Finance (QuickBooks + AI Systems Support),https://www.onlinejobs.ph/jobseekers/job/Remote-Executive-Admin-Finance-QuickBooks-AI-Systems-Support-1671984,Any,40,"Jun 28, 2026",$5 per hour,866.0,Quickbooks Bookkeeping AI Tools,"AI/build signals: claude, chatgpt, ai tools, perplexity | Build surface: dashboard, dashboards, repo, api, automation, workflow, workflows, ghl | Code/build substrate: dashboard, dashboards, repo, api | Trainable language: va, coachable, fresh, sop, templates | Scarcity/seniority signal: lead","JOB OVERVIEW Are you a detail-oriented, systems-minded Virtual Professional who enjoys keeping financial records organized, building clean trackers, and turning messy information into clear workflows? We are looking for a proactive Executive Admin & Finance..."
81,64,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,"Shopify Expert Developer, CRO & Ecommerce Brand Launches",https://www.onlinejobs.ph/jobseekers/job/Shopify-Expert-Developer-CRO-Ecommerce-Brand-Launches-1678063,Full Time,40,"Jun 28, 2026",$800,800.0,Shopify Website Builder Website Copywriting,"Explicit tools: claude code | AI/build signals: claude | Build surface: website, landing page, landing pages, repo, html, css, shopify | Code/build substrate: repo, html, css, claude code | Trainable language: va, learn | Scarcity/seniority signal: expert, 5+ years",About us: Creatr Led is a done-for-you launch partner for content creators — we build and launch product brands for creators (some with audiences in the millions. We launch their own brands and we need someone to come in and assist with the website building...
82,63,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Galactictiles,https://galactictiles.com,inferred_from_domain,GHL Specialist – AI Voice & Chat Integration Expert,https://www.onlinejobs.ph/jobseekers/job/GHL-Specialist-AI-Voice-Chat-Integration-Expert-1652190,Any,40,"Jun 25, 2026",based on experience,,,"AI/build signals: openai, ai tools, ai agent, ai agents, prompt engineering, llm | Build surface: repo, api, apis, webhook, webhooks, automation, workflow, workflows | Code/build substrate: repo, api, apis, webhook, webhooks | Trainable language: assistant, va | Scarcity/seniority signal: lead, expert","Role Overview: We’re looking for a GHL power user who can build, deploy, and optimize AI voice agents and chat flows inside GoHighLevel. You’ll bridge the gap between conversational AI and GHL’s automation suite (campaigns, pipelines, triggers). Key..."
83,62,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Operations and Systems Coordinator *Direct Hire*,https://www.onlinejobs.ph/jobseekers/job/Operations-and-Systems-Coordinator-Direct-Hire-1678991,Full Time,40,"Jun 29, 2026","$900 to $1,200 USD/month",1200.0,Sop Writing Process Improvement AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation | Build surface: repo, api, automation, automations, workflow, workflows, ghl | Code/build substrate: repo, api | Trainable language: assistant, va, virtual assistant, sop, templates | Scarcity/seniority signal: lead, manager","Location: Remote (Philippines) Employment Type: Full-Time Independent Contractor Salary: $900 to $1,200 USD/month (Depending on Experience) Help Build the Operating System of a Modern Accounting Firm Insight Advantage Group is a fast-growing U.S.-based..."
84,62,High-confidence vibe coding,Junior or trainable,iLIVFIT LLC,,exposed_company_or_brand,GHL / Website Design Specialist,https://www.onlinejobs.ph/jobseekers/job/GHL-Website-Design-Specialist-1678479,Any,10,"Jun 29, 2026",$5/hr,866.0,Design Website Builder UI UX Design,"Explicit tools: claude code | AI/build signals: claude | Build surface: website, landing page, landing pages, repo, automation, automations, go high level, ghl | Code/build substrate: repo, claude code | Trainable language: va","Looking for someone who has GHL (Go High Level) experience, as well as STRONG design skills. Job Overview : We're looking for a excited and dynamic person to join our team. we're in the business of creating automation / funnels / and systems for our clients..."
85,62,High-confidence vibe coding,"Senior ask, but trainable profile language",Lovable,https://lovable.dev,inferred_from_domain,Senior Web Developer (Lovable.dev) – Platform Completion & OS Stability Role,https://www.onlinejobs.ph/jobseekers/job/Senior-Web-Developer-Lovabledev-Platform-Completion-OS-Stability-Role-1538480,Any,TBD,"Jun 25, 2026",1000,1000.0,Web Programming AI Tools,"Explicit tools: lovable, lovable.dev | AI/build signals: ai tools | Build surface: supabase, repo | Code/build substrate: supabase, repo, lovable | Trainable language: va | Scarcity/seniority signal: senior","Job Description We are building a multi-brand business operating system (OS) using Lovable.dev and Supabase. Our platforms are already structured. We are looking for a senior web developer to help complete, stabilize, and polish existing systems—not rebuild..."
86,62,High-confidence vibe coding,"Senior ask, but trainable profile language",Join,https://join.aidus.ai,inferred_from_domain,Tech / IT / Software Developer,https://www.onlinejobs.ph/jobseekers/job/Tech-IT-Software-Developer-1677789,Any,TBD,"Jun 27, 2026",TBD,,IT Software Developer tools,"Explicit tools: ai-assisted development | AI/build signals: chatgpt | Build surface: frontend, react, next.js, github, repo, python, automation, workflow | Code/build substrate: frontend, react, next.js, github, repo, python | Trainable language: va | Scarcity/seniority signal: senior","We're Hiring: Tech / IT / Software Developer Remote • Full-Time • Filipino Professionals • International Clients ABOUT AIDUS AiDus places top Filipino tech talent with growth-stage companies in the US, UK, Canada, and Australia. Our clients need developers..."
87,62,High-confidence vibe coding,Junior or trainable,Loom,https://loom.com,inferred_from_domain,Vibe Coder (FULL TIME),https://www.onlinejobs.ph/jobseekers/job/Vibe-Coder-FULL-TIME-1678637,Full Time,30,"Jun 29, 2026",1000,1000.0,,"Explicit tools: vibe coder | AI/build signals: prompt engineering | Build surface: landing page, landing pages, repo, api | Code/build substrate: repo, api | Trainable language: va","About the role I run a growing portfolio of online media businesses powered by custom AI tooling. I'm looking for a Vibe Coder / Prompt Engineer to take ownership of building, extending, and maintaining the AI-powered tools, landing pages, and prompt systems..."
88,62,High-confidence vibe coding,"Senior ask, but trainable profile language",Lovable,https://lovable.dev,inferred_from_domain,b Title Senior Web Developer (Lovable.dev) – Long-Term Completion & Support Role,https://www.onlinejobs.ph/jobseekers/job/b-Title-Senior-Web-Developer-Lovabledev-Long-Term-Completion-Support-Role-1538466,Any,TBD,"Jun 25, 2026","1,000",1000.0,Web Programming AI Tools,"Explicit tools: lovable, lovable.dev | AI/build signals: ai tools | Build surface: supabase, repo | Code/build substrate: supabase, repo, lovable | Trainable language: va | Scarcity/seniority signal: senior","Job Description We are building a multi-platform business ecosystem using Lovable.dev and Supabase. Our platforms are already structured, and we are looking for a senior-level web developer to help complete, stabilize, and polish existing systems. This is..."
89,62,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,n8n and word press specialist,https://www.onlinejobs.ph/jobseekers/job/n8n-and-word-press-specialist-1480154,Full Time,30,"Jul 1, 2026",4/hour,692.8,Wordpress AI Automation,"Explicit tools: lovable | AI/build signals: ai automation | Build surface: website, websites, repo, automation, automations, workflow, workflows, wordpress | Code/build substrate: repo, lovable | Trainable language: va","I’m looking for an experienced n8n, WordPress, Lovable, and PDF.co specialist to help update, troubleshoot, and optimize my website and automations. Requirements: * Strong experience with WordPress website updates, maintenance, and troubleshooting * Hands-on..."
